long,lat,temperature,timestamp,id
-2.1601667,15.653505,38,2008-03-22T17:00:00Z,Salif Keita
-2.160075,15.654525,35,2008-03-22T18:00:00Z,Salif Keita
-2.1599017,15.6545133,32,2008-03-22T19:00:00Z,Salif Keita
-2.159435,15.654885,30,2008-03-22T20:00:00Z,Salif Keita
-2.1581133,15.6551167,29,2008-03-22T21:00:00Z,Salif Keita
-2.1578483,15.6546133,28,2008-03-22T22:00:00Z,Salif Keita
-2.1581517,15.65648,25,2008-03-22T23:00:00Z,Salif Keita
-2.1590317,15.6565983,24,2008-03-23T00:00:00Z,Salif Keita
-2.1593217,15.658585,23,2008-03-23T01:00:00Z,Salif Keita
-2.15959,15.65907,22,2008-03-23T02:00:00Z,Salif Keita
-2.1612967,15.65912,22,2008-03-23T03:00:00Z,Salif Keita
-2.161555,15.659115,22,2008-03-23T04:00:00Z,Salif Keita
-2.1614833,15.6588017,21,2008-03-23T05:00:00Z,Salif Keita
-2.1618317,15.6592483,21,2008-03-23T06:00:00Z,Salif Keita
-2.1614433,15.6583867,21,2008-03-23T07:00:00Z,Salif Keita
-2.1602483,15.6564517,25,2008-03-23T08:00:00Z,Salif Keita
-2.1606833,15.6552983,31,2008-03-23T09:00:00Z,Salif Keita
-2.1593333,15.6542467,36,2008-03-23T10:00:00Z,Salif Keita
-2.158325,15.65333,35,2008-03-23T11:00:00Z,Salif Keita
-2.1582983,15.652505,39,2008-03-23T12:00:00Z,Salif Keita
-2.1602183,15.6499983,37,2008-03-23T13:00:00Z,Salif Keita
-2.1619233,15.649455,40,2008-03-23T14:00:00Z,Salif Keita
-2.162455,15.64932,40,2008-03-23T15:00:00Z,Salif Keita
-2.1620083,15.6491833,39,2008-03-23T16:00:00Z,Salif Keita
-2.165335,15.65041,37,2008-03-23T17:00:00Z,Salif Keita
-2.167215,15.6486267,35,2008-03-23T18:00:00Z,Salif Keita
-2.1648167,15.6460133,31,2008-03-23T19:00:00Z,Salif Keita
-2.16793,15.6488283,27,2008-03-23T20:00:00Z,Salif Keita
-2.167245,15.64898,27,2008-03-23T21:00:00Z,Salif Keita
-2.169615,15.654165,26,2008-03-23T22:00:00Z,Salif Keita
-2.168565,15.655685,25,2008-03-23T23:00:00Z,Salif Keita
-2.1683,15.65542,25,2008-03-24T00:00:00Z,Salif Keita
-2.1684,15.6554817,24,2008-03-24T01:00:00Z,Salif Keita
-2.16798,15.6578083,23,2008-03-24T02:00:00Z,Salif Keita
-2.1657117,15.6577383,23,2008-03-24T03:00:00Z,Salif Keita
-2.1642783,15.6580283,23,2008-03-24T04:00:00Z,Salif Keita
-2.1642817,15.6583117,24,2008-03-24T05:00:00Z,Salif Keita
-2.1649917,15.6587133,24,2008-03-24T06:00:00Z,Salif Keita
-2.1663217,15.65548,24,2008-03-24T07:00:00Z,Salif Keita
-2.1666233,15.653075,26,2008-03-24T08:00:00Z,Salif Keita
-2.166935,15.6519917,31,2008-03-24T09:00:00Z,Salif Keita
-2.1637033,15.6517117,37,2008-03-24T10:00:00Z,Salif Keita
-2.1617833,15.6523517,36,2008-03-24T11:00:00Z,Salif Keita
-2.1615017,15.65301,35,2008-03-24T12:00:00Z,Salif Keita
-2.1614633,15.6529883,37,2008-03-24T13:00:00Z,Salif Keita
-2.15935,15.6525417,39,2008-03-24T14:00:00Z,Salif Keita
-2.15755,15.6516583,39,2008-03-24T15:00:00Z,Salif Keita
-2.15565,15.65048,37,2008-03-24T16:00:00Z,Salif Keita
-2.15528,15.6513283,37,2008-03-24T17:00:00Z,Salif Keita
-2.1545367,15.652955,34,2008-03-24T18:00:00Z,Salif Keita
-2.1514667,15.6519433,32,2008-03-24T19:00:00Z,Salif Keita
-2.146315,15.6472433,30,2008-03-24T20:00:00Z,Salif Keita
