id,y,x,t
N17003,40.1014,-94.53964,2/19/2017 9:01
N17003,40.10184,-94.538,2/19/2017 14:01
N17003,40.10436,-94.54232,2/19/2017 19:01
N17003,40.10538,-94.54193,2/20/2017 0:01
N17003,40.1002,-94.55017,2/20/2017 5:01
N17003,40.09636,-94.54933,2/20/2017 10:01
N17003,40.09633,-94.54939,2/20/2017 15:01
N17003,40.09444,-94.54929,2/20/2017 20:01
N17003,40.09548,-94.54813,2/21/2017 1:01
N17003,40.09584,-94.54824,2/21/2017 6:01
N17003,40.09856,-94.55149,2/21/2017 11:01
N17003,40.09918,-94.55215,2/21/2017 16:01
N17003,40.09086,-94.55582,2/21/2017 21:01
N17003,40.08367,-94.55862,2/22/2017 2:01
N17003,40.09028,-94.55998,2/22/2017 7:01
N17003,40.09249,-94.55765,2/22/2017 12:01
N17003,40.09261,-94.55725,2/22/2017 17:01
N17003,40.09442,-94.56031,2/22/2017 22:01
N17003,40.09432,-94.55915,2/23/2017 3:01
N17003,40.09582,-94.56175,2/23/2017 8:01
N17003,40.0959,-94.56066,2/23/2017 13:01
N17003,40.08863,-94.55856,2/23/2017 18:01
N17003,40.08103,-94.556,2/23/2017 23:01
N17003,40.09186,-94.5586,2/24/2017 4:01
N17003,40.0987,-94.55178,2/24/2017 9:01
N17003,40.09857,-94.55101,2/24/2017 14:02
N17003,40.0984,-94.54964,2/24/2017 19:02
N17003,40.09602,-94.53817,2/25/2017 0:01
N17003,40.09466,-94.5382,2/25/2017 5:01
N17003,40.09814,-94.5467,2/25/2017 10:01
N17003,40.09994,-94.54733,2/25/2017 15:01
N17003,40.10169,-94.54621,2/25/2017 20:01
N17003,40.1052,-94.53907,2/26/2017 1:01
N17003,40.10307,-94.53751,2/26/2017 6:02
N17003,40.09283,-94.55707,2/26/2017 11:01
N17003,40.09212,-94.55881,2/26/2017 16:01
N17003,40.0923,-94.56833,2/26/2017 21:01
N17003,40.09379,-94.5603,2/27/2017 2:01
N17003,40.09613,-94.55328,2/27/2017 7:01
N17003,40.0978,-94.54571,2/27/2017 12:01
N17003,40.09642,-94.54489,2/27/2017 17:01
N17003,40.0969,-94.55076,2/27/2017 22:01
N17003,40.09896,-94.54823,2/28/2017 3:01
N17003,40.09996,-94.54492,2/28/2017 8:01
N17003,40.10036,-94.54603,2/28/2017 13:02
N17003,40.09729,-94.55038,2/28/2017 18:02
N17003,40.09663,-94.54452,2/28/2017 23:01
N17003,40.0985,-94.54241,3/1/2017 4:01
N17003,40.09837,-94.54744,3/1/2017 9:01
N17003,40.10037,-94.54685,3/1/2017 14:01
N17003,40.09917,-94.54365,3/1/2017 19:01
N17003,40.09593,-94.5418,3/2/2017 0:01
N17003,40.09726,-94.5427,3/2/2017 5:01
N17003,40.0997,-94.54765,3/2/2017 10:01
N17003,40.10046,-94.54788,3/2/2017 15:01
N17003,40.09528,-94.54815,3/2/2017 20:01
N17003,40.09652,-94.55274,3/3/2017 1:01
N17003,40.09657,-94.55273,3/3/2017 6:01
N17003,40.09468,-94.54438,3/3/2017 11:01
N17003,40.0945,-94.54477,3/3/2017 16:01
N17003,40.09255,-94.53379,3/3/2017 21:01
